Waste_Type,Material,Toxicity,Recyclable,Energy_Recovery,City
Organic,Biodegradable,High,No,Medium,Rajkot
E-Waste,Circuit Board,High,No,Medium,Ahmedabad
Paper,Newspaper,Medium,Yes,Medium,Ahmedabad
Metal,Aluminium,Low,No,Medium,Gandhinagar
Plastic,PVC,Low,Yes,High,Jamnagar
Plastic,PVC,Medium,Yes,High,Jamnagar
Paper,Office Paper,Medium,Yes,High,Bhavnagar
Organic,Food Waste,Medium,Yes,Medium,Jamnagar
Paper,Newspaper,Low,Yes,Low,Jamnagar
Organic,Garden Waste,High,No,Medium,Gandhinagar
Organic,Biodegradable,High,No,Low,Surat
E-Waste,Circuit Board,High,Yes,Medium,Ahmedabad
Plastic,PVC,Low,Yes,Medium,Jamnagar
Metal,Aluminium,Low,No,Low,Jamnagar
Organic,Food Waste,Medium,No,Low,Ahmedabad
Paper,Cardboard,Medium,Yes,Medium,Jamnagar
E-Waste,Wires,High,No,Medium,Gandhinagar
E-Waste,Circuit Board,High,Yes,High,Surat
Paper,Newspaper,High,No,High,Jamnagar
E-Waste,Battery,Low,No,Medium,Rajkot
E-Waste,Circuit Board,Low,Yes,Medium,Surat
Metal,Steel,Low,Yes,Medium,Rajkot
Organic,Biodegradable,Medium,No,Low,Gandhinagar
Plastic,HDPE,Low,No,High,Gandhinagar
Paper,Newspaper,High,No,Medium,Surat
Metal,Steel,Medium,Yes,High,Ahmedabad
Organic,Food Waste,High,No,Medium,Rajkot
Metal,Iron,High,Yes,High,Gandhinagar
Paper,Cardboard,Medium,No,Medium,Ahmedabad
Metal,Steel,High,No,Low,Ahmedabad
Paper,Newspaper,Low,No,Medium,Rajkot
Paper,Cardboard,Low,Yes,High,Rajkot
Metal,Iron,Medium,No,Low,Surat
Paper,Cardboard,Medium,No,Medium,Bhavnagar
Organic,Food Waste,Low,Yes,Medium,Bhavnagar
Organic,Food Waste,High,No,Medium,Gandhinagar
Plastic,PVC,Low,No,High,Ahmedabad
Plastic,PVC,High,No,Medium,Ahmedabad
Organic,Food Waste,High,Yes,Low,Surat
Metal,Iron,Medium,No,Medium,Ahmedabad
Paper,Office Paper,Medium,No,Low,Rajkot
E-Waste,Battery,High,No,Medium,Ahmedabad
Organic,Food Waste,Low,No,Low,Ahmedabad
Organic,Garden Waste,High,No,Low,Vadodara
E-Waste,Circuit Board,Medium,Yes,Low,Jamnagar
E-Waste,Circuit Board,Low,No,High,Rajkot
Paper,Newspaper,Medium,No,High,Jamnagar
Metal,Steel,Low,No,Low,Gandhinagar
Paper,Office Paper,Low,No,Low,Rajkot
Organic,Biodegradable,High,Yes,Low,Jamnagar
Organic,Food Waste,High,No,Low,Vadodara
Metal,Aluminium,Low,No,High,Ahmedabad
Paper,Office Paper,Low,Yes,Low,Ahmedabad
Organic,Food Waste,Medium,No,High,Ahmedabad
Metal,Steel,Medium,Yes,Low,Gandhinagar
E-Waste,Circuit Board,High,No,High,Gandhinagar
Organic,Garden Waste,Low,Yes,High,Vadodara
Metal,Iron,Medium,Yes,High,Gandhinagar
Metal,Aluminium,Medium,No,Medium,Bhavnagar
Organic,Food Waste,Low,Yes,Medium,Bhavnagar
E-Waste,Battery,Low,Yes,High,Rajkot
Plastic,PVC,Low,No,Low,Jamnagar
E-Waste,Wires,High,No,High,Bhavnagar
Paper,Office Paper,High,No,High,Rajkot
Plastic,PET,Low,No,Medium,Surat
Metal,Iron,High,Yes,Medium,Bhavnagar
Metal,Steel,Medium,Yes,High,Rajkot
Metal,Iron,Low,No,Low,Jamnagar
E-Waste,Battery,High,No,High,Rajkot
Plastic,PET,Low,No,Low,Surat
Paper,Cardboard,Medium,No,Low,Surat
Organic,Food Waste,Medium,Yes,High,Surat
Plastic,HDPE,High,Yes,High,Bhavnagar
Metal,Steel,Medium,Yes,Medium,Vadodara
Plastic,PET,High,Yes,Medium,Surat
Metal,Steel,Low,Yes,Low,Jamnagar
Plastic,HDPE,High,No,Low,Rajkot
Plastic,PVC,Low,Yes,Medium,Bhavnagar
Paper,Cardboard,High,No,High,Gandhinagar
Organic,Garden Waste,Low,No,High,Vadodara
Paper,Cardboard,Medium,No,High,Ahmedabad
Paper,Newspaper,Medium,No,Medium,Ahmedabad
Metal,Aluminium,High,No,Low,Jamnagar
E-Waste,Wires,Low,Yes,Low,Gandhinagar
Plastic,PVC,Medium,No,Medium,Surat
Organic,Garden Waste,Medium,Yes,Low,Gandhinagar
Organic,Garden Waste,Low,No,Medium,Vadodara
Metal,Iron,Low,Yes,Medium,Jamnagar
Plastic,PET,High,No,Medium,Rajkot
E-Waste,Circuit Board,Low,Yes,High,Bhavnagar
Paper,Office Paper,Medium,Yes,Low,Gandhinagar
E-Waste,Wires,Medium,Yes,Medium,Surat
Paper,Newspaper,High,No,Medium,Jamnagar
Organic,Garden Waste,High,Yes,Low,Bhavnagar
E-Waste,Circuit Board,Medium,Yes,Medium,Vadodara
Metal,Steel,Low,Yes,Medium,Vadodara
Metal,Aluminium,Low,Yes,High,Gandhinagar
Plastic,PVC,High,No,Medium,Vadodara
E-Waste,Battery,Medium,Yes,Low,Rajkot
E-Waste,Battery,Medium,Yes,Low,Bhavnagar
E-Waste,Wires,High,Yes,High,Jamnagar
Metal,Steel,High,No,High,Jamnagar
Paper,Newspaper,High,Yes,Low,Gandhinagar
Organic,Garden Waste,Medium,Yes,Medium,Ahmedabad
Metal,Steel,High,No,Low,Jamnagar
Paper,Office Paper,High,Yes,Low,Vadodara
Paper,Office Paper,Medium,No,Medium,Bhavnagar
E-Waste,Battery,Medium,No,Low,Rajkot
E-Waste,Wires,Low,No,High,Ahmedabad
Metal,Iron,High,No,Low,Vadodara
E-Waste,Wires,Medium,Yes,Medium,Ahmedabad
Organic,Biodegradable,High,No,High,Rajkot
Metal,Aluminium,Low,No,High,Rajkot
Metal,Steel,Medium,Yes,Low,Rajkot
E-Waste,Wires,Low,Yes,High,Gandhinagar
Plastic,HDPE,Medium,No,High,Jamnagar
Plastic,PET,Low,Yes,High,Jamnagar
Organic,Food Waste,High,Yes,Medium,Rajkot
Paper,Newspaper,Low,No,Low,Jamnagar
E-Waste,Wires,High,No,Medium,Rajkot
Organic,Food Waste,High,No,Medium,Gandhinagar
Plastic,PVC,Medium,No,Medium,Ahmedabad
Paper,Newspaper,Medium,No,High,Ahmedabad
Plastic,HDPE,Low,No,High,Jamnagar
Plastic,PVC,Medium,Yes,Medium,Surat
Paper,Cardboard,Medium,No,Low,Ahmedabad
Organic,Biodegradable,High,No,High,Bhavnagar
Plastic,PET,Low,Yes,Low,Bhavnagar
Organic,Food Waste,Medium,Yes,Medium,Ahmedabad
Paper,Newspaper,Medium,No,Low,Surat
Plastic,PVC,High,No,Medium,Rajkot
Metal,Steel,High,Yes,Medium,Gandhinagar
Metal,Steel,Medium,Yes,High,Ahmedabad
Organic,Biodegradable,Low,No,Low,Surat
E-Waste,Battery,Medium,Yes,Low,Vadodara
Plastic,PVC,High,Yes,Low,Surat
Paper,Office Paper,High,No,Medium,Rajkot
Metal,Steel,Medium,No,Medium,Ahmedabad
E-Waste,Circuit Board,Medium,No,High,Jamnagar
Metal,Aluminium,High,No,Medium,Ahmedabad
Paper,Office Paper,Medium,No,Medium,Ahmedabad
E-Waste,Battery,Medium,No,Medium,Jamnagar
Paper,Newspaper,Medium,Yes,Medium,Vadodara
Paper,Newspaper,Medium,No,Low,Gandhinagar
E-Waste,Wires,Low,No,Medium,Ahmedabad
Metal,Steel,Low,No,Medium,Rajkot
Plastic,PET,High,Yes,High,Gandhinagar
E-Waste,Circuit Board,Medium,No,Low,Ahmedabad
Paper,Newspaper,Medium,Yes,Medium,Surat
Paper,Cardboard,Medium,Yes,Medium,Ahmedabad
Plastic,HDPE,Medium,No,High,Rajkot
E-Waste,Battery,Medium,No,Medium,Jamnagar
Paper,Cardboard,Medium,Yes,High,Rajkot
Plastic,HDPE,Medium,Yes,Low,Surat
Plastic,HDPE,High,Yes,High,Rajkot
Metal,Iron,Medium,No,Medium,Rajkot
Metal,Aluminium,High,Yes,High,Gandhinagar
Organic,Food Waste,Low,Yes,Medium,Bhavnagar
Paper,Office Paper,Medium,No,Low,Vadodara
Paper,Newspaper,High,No,Low,Jamnagar
Plastic,HDPE,Medium,No,Low,Rajkot
E-Waste,Circuit Board,Medium,Yes,Medium,Gandhinagar
Plastic,PET,Low,No,Low,Jamnagar
Organic,Biodegradable,High,No,Medium,Bhavnagar
E-Waste,Circuit Board,Medium,Yes,Medium,Bhavnagar
Plastic,PET,Medium,Yes,High,Gandhinagar
Metal,Steel,Medium,Yes,High,Gandhinagar
Organic,Food Waste,Medium,Yes,Medium,Bhavnagar
Metal,Iron,Medium,Yes,Low,Rajkot
Organic,Biodegradable,Medium,No,Medium,Ahmedabad
Plastic,PVC,Medium,No,Low,Surat
E-Waste,Circuit Board,Low,No,Medium,Surat
E-Waste,Circuit Board,Medium,Yes,High,Ahmedabad
Organic,Biodegradable,High,Yes,High,Jamnagar
Plastic,HDPE,Medium,Yes,High,Surat
Plastic,PET,Medium,Yes,High,Rajkot
Plastic,PET,Low,Yes,Medium,Jamnagar
E-Waste,Battery,High,Yes,Medium,Vadodara
Metal,Iron,High,No,Low,Jamnagar
E-Waste,Battery,High,No,Low,Bhavnagar
Paper,Newspaper,Low,No,High,Gandhinagar
Paper,Newspaper,Low,No,High,Surat
Paper,Cardboard,Medium,Yes,Medium,Vadodara
E-Waste,Circuit Board,High,Yes,High,Rajkot
Metal,Steel,High,No,Low,Gandhinagar
Organic,Biodegradable,High,Yes,Medium,Surat
Organic,Food Waste,Low,Yes,Low,Gandhinagar
Plastic,HDPE,Medium,No,High,Vadodara
Metal,Aluminium,High,Yes,High,Ahmedabad
Organic,Biodegradable,Medium,No,Medium,Bhavnagar
Paper,Newspaper,Low,No,Low,Gandhinagar
Plastic,HDPE,Medium,Yes,Medium,Bhavnagar
Organic,Food Waste,High,Yes,Medium,Vadodara
Paper,Newspaper,High,Yes,High,Rajkot
Paper,Cardboard,Medium,Yes,Medium,Rajkot
Organic,Biodegradable,Low,Yes,High,Gandhinagar
Paper,Office Paper,Low,No,Low,Bhavnagar
Metal,Aluminium,Low,Yes,Low,Gandhinagar
Plastic,HDPE,Medium,No,Medium,Gandhinagar
Metal,Aluminium,High,Yes,Low,Bhavnagar
E-Waste,Circuit Board,Medium,No,Low,Ahmedabad
E-Waste,Circuit Board,High,Yes,High,Jamnagar
E-Waste,Wires,Medium,Yes,Low,Rajkot
Paper,Cardboard,High,Yes,Medium,Gandhinagar
Paper,Newspaper,Low,Yes,Medium,Vadodara
Plastic,PET,Medium,No,Medium,Gandhinagar
Metal,Steel,High,Yes,Medium,Vadodara
Metal,Steel,High,No,Low,Bhavnagar
Organic,Garden Waste,High,No,Medium,Vadodara
Paper,Office Paper,Low,No,High,Ahmedabad
E-Waste,Battery,Medium,Yes,High,Vadodara
Paper,Newspaper,High,Yes,Low,Bhavnagar
Plastic,PET,High,No,Medium,Jamnagar
Plastic,PVC,High,No,High,Jamnagar
Plastic,HDPE,High,Yes,Low,Surat
Metal,Aluminium,Low,No,Low,Vadodara
Organic,Biodegradable,Low,Yes,Low,Bhavnagar
Organic,Garden Waste,Medium,No,High,Surat
E-Waste,Wires,High,Yes,Medium,Rajkot
Metal,Aluminium,Medium,No,Low,Surat
Plastic,PET,Medium,Yes,Low,Rajkot
E-Waste,Battery,Medium,No,High,Surat
Plastic,PET,High,Yes,Medium,Vadodara
Metal,Steel,High,Yes,Medium,Bhavnagar
E-Waste,Battery,Low,No,High,Rajkot
Metal,Iron,Low,Yes,High,Ahmedabad
Paper,Cardboard,Low,Yes,Low,Bhavnagar
Paper,Newspaper,Low,No,Medium,Rajkot
Organic,Biodegradable,High,Yes,Medium,Vadodara
Plastic,PVC,Medium,No,Low,Bhavnagar
E-Waste,Wires,High,Yes,High,Surat
Plastic,PVC,Low,No,Medium,Vadodara
Metal,Steel,Medium,No,High,Rajkot
Organic,Biodegradable,Low,No,Medium,Jamnagar
Paper,Newspaper,Low,No,Medium,Jamnagar
Organic,Garden Waste,Medium,Yes,Medium,Surat
E-Waste,Battery,Low,Yes,High,Gandhinagar
Metal,Steel,High,No,High,Gandhinagar
Metal,Steel,Low,No,Medium,Gandhinagar
Metal,Aluminium,Medium,Yes,High,Jamnagar
Plastic,PET,Low,No,Medium,Gandhinagar
Paper,Office Paper,High,No,Low,Jamnagar
Plastic,PVC,Medium,No,Medium,Bhavnagar
Metal,Steel,Medium,No,Low,Gandhinagar
Plastic,PET,Medium,No,Medium,Surat
Metal,Aluminium,Medium,No,Low,Gandhinagar
Paper,Newspaper,Medium,No,Medium,Vadodara
Paper,Cardboard,Low,No,Low,Surat
Metal,Aluminium,Medium,No,Medium,Rajkot
Metal,Steel,High,No,High,Bhavnagar
Plastic,PVC,High,Yes,Medium,Ahmedabad
Metal,Aluminium,High,Yes,High,Jamnagar
Plastic,HDPE,Low,No,Low,Ahmedabad
Organic,Food Waste,Low,No,Low,Vadodara
E-Waste,Circuit Board,Medium,Yes,Medium,Bhavnagar
Paper,Cardboard,High,Yes,Medium,Rajkot
Organic,Garden Waste,High,Yes,Low,Rajkot
Organic,Food Waste,Low,Yes,Low,Vadodara
Metal,Steel,Low,No,Low,Gandhinagar
Paper,Cardboard,High,Yes,High,Ahmedabad
Plastic,PET,High,Yes,Low,Rajkot
Paper,Office Paper,High,No,Medium,Vadodara
Organic,Garden Waste,Medium,Yes,Medium,Rajkot
Paper,Cardboard,Medium,Yes,Medium,Gandhinagar
Paper,Office Paper,Medium,No,Low,Ahmedabad
Metal,Iron,High,No,High,Bhavnagar
Metal,Steel,Medium,Yes,Low,Jamnagar
E-Waste,Battery,Medium,No,Medium,Rajkot
Organic,Food Waste,Low,No,Medium,Bhavnagar
Plastic,PET,High,Yes,Medium,Rajkot
Metal,Steel,Low,Yes,Medium,Jamnagar
Plastic,PVC,Low,Yes,High,Surat
Metal,Steel,Medium,Yes,Medium,Rajkot
Paper,Office Paper,High,No,Medium,Rajkot
Plastic,HDPE,High,Yes,High,Vadodara
Paper,Office Paper,High,Yes,High,Rajkot
Paper,Office Paper,Medium,No,Medium,Gandhinagar
Organic,Biodegradable,Low,Yes,High,Vadodara
Plastic,PET,Low,Yes,High,Rajkot
Paper,Newspaper,High,Yes,High,Ahmedabad
Paper,Newspaper,Low,Yes,High,Rajkot
Organic,Food Waste,Low,Yes,Low,Gandhinagar
Organic,Garden Waste,High,No,Low,Ahmedabad
Plastic,HDPE,Medium,Yes,Medium,Gandhinagar
Organic,Biodegradable,Low,Yes,Low,Gandhinagar
Metal,Aluminium,Medium,Yes,Medium,Jamnagar
Metal,Aluminium,Low,No,Low,Vadodara
Metal,Iron,Low,Yes,High,Jamnagar
Organic,Biodegradable,Medium,No,Low,Gandhinagar
Organic,Food Waste,Medium,No,Medium,Rajkot
Plastic,HDPE,Low,Yes,Medium,Rajkot
Metal,Aluminium,Medium,No,High,Rajkot
Metal,Aluminium,Medium,No,High,Jamnagar
E-Waste,Battery,Medium,Yes,Low,Jamnagar
Metal,Steel,High,Yes,Medium,Surat
Plastic,HDPE,Medium,No,Medium,Gandhinagar
Paper,Cardboard,Low,Yes,High,Vadodara
E-Waste,Wires,Low,Yes,Medium,Bhavnagar
Organic,Biodegradable,Medium,No,Low,Bhavnagar
Paper,Newspaper,Medium,Yes,Low,Bhavnagar
E-Waste,Wires,Medium,Yes,Low,Vadodara
Organic,Garden Waste,Medium,No,High,Rajkot
Organic,Biodegradable,Medium,Yes,Low,Ahmedabad
E-Waste,Circuit Board,Low,Yes,High,Ahmedabad
E-Waste,Battery,Low,No,Low,Surat
Metal,Steel,Medium,Yes,High,Surat
Paper,Office Paper,Low,Yes,Low,Vadodara
Organic,Biodegradable,High,Yes,Medium,Ahmedabad
Plastic,PVC,Medium,No,Medium,Jamnagar
Plastic,PVC,Low,Yes,Low,Gandhinagar
Plastic,HDPE,High,Yes,Medium,Vadodara
E-Waste,Battery,Medium,Yes,Low,Gandhinagar
Paper,Office Paper,High,Yes,Medium,Rajkot
Plastic,PET,Low,No,High,Rajkot
Metal,Aluminium,Low,Yes,High,Rajkot
Paper,Cardboard,Low,No,Low,Bhavnagar
Organic,Food Waste,Medium,Yes,Medium,Surat
E-Waste,Battery,Low,Yes,High,Ahmedabad
E-Waste,Circuit Board,High,Yes,Medium,Gandhinagar
E-Waste,Wires,High,Yes,High,Bhavnagar
Paper,Cardboard,Low,No,Low,Ahmedabad
Plastic,HDPE,Low,Yes,Medium,Jamnagar
Organic,Garden Waste,Low,Yes,Medium,Rajkot
Plastic,PET,High,Yes,Low,Vadodara
Metal,Steel,Medium,Yes,Medium,Jamnagar
Metal,Iron,Medium,Yes,High,Bhavnagar
Plastic,HDPE,Low,Yes,High,Gandhinagar
Plastic,PET,Low,Yes,High,Surat
Metal,Aluminium,High,Yes,Medium,Rajkot
E-Waste,Circuit Board,Medium,Yes,Low,Ahmedabad
E-Waste,Wires,Low,No,High,Rajkot
E-Waste,Circuit Board,High,No,Medium,Ahmedabad
E-Waste,Battery,High,No,Medium,Jamnagar
Metal,Aluminium,Medium,Yes,High,Rajkot
E-Waste,Wires,Low,Yes,Low,Ahmedabad
Metal,Steel,Medium,No,Low,Rajkot
Plastic,PVC,Medium,Yes,Low,Bhavnagar
Paper,Newspaper,High,No,Medium,Jamnagar
Metal,Iron,Low,Yes,Low,Surat
Organic,Biodegradable,Low,Yes,High,Surat
E-Waste,Circuit Board,Medium,No,High,Vadodara
Organic,Food Waste,High,Yes,Low,Gandhinagar
Paper,Cardboard,High,Yes,Low,Gandhinagar
Organic,Biodegradable,Medium,Yes,Medium,Rajkot
Plastic,HDPE,Medium,No,High,Gandhinagar
E-Waste,Battery,Low,Yes,High,Surat
Organic,Garden Waste,Low,Yes,Medium,Surat
Organic,Biodegradable,Medium,No,Low,Rajkot
Metal,Aluminium,Medium,No,Medium,Ahmedabad
Plastic,PVC,Medium,Yes,Low,Vadodara
Paper,Cardboard,Medium,No,High,Rajkot
Organic,Food Waste,High,Yes,Low,Jamnagar
Metal,Steel,Low,Yes,High,Ahmedabad
Plastic,PET,Medium,Yes,Low,Surat
Metal,Aluminium,Medium,Yes,High,Ahmedabad
Plastic,HDPE,Low,No,Low,Vadodara
Organic,Biodegradable,High,No,Medium,Ahmedabad
Organic,Biodegradable,Low,No,Low,Vadodara
E-Waste,Wires,Low,Yes,High,Surat
E-Waste,Circuit Board,Low,Yes,Medium,Jamnagar
Metal,Steel,High,No,Low,Gandhinagar
Organic,Food Waste,High,No,Low,Gandhinagar
E-Waste,Battery,Low,Yes,Low,Surat
Plastic,PET,Low,No,Medium,Jamnagar
Plastic,PVC,High,No,Low,Jamnagar
Plastic,HDPE,High,No,High,Ahmedabad
Organic,Biodegradable,Low,Yes,Low,Rajkot
Metal,Aluminium,Medium,Yes,Medium,Bhavnagar
Organic,Garden Waste,Medium,Yes,Medium,Jamnagar
Organic,Garden Waste,Medium,No,Medium,Vadodara
Plastic,PET,High,Yes,Low,Surat
Plastic,PET,Low,Yes,Low,Surat
Organic,Biodegradable,Low,Yes,High,Vadodara
Organic,Food Waste,Medium,Yes,High,Gandhinagar
Paper,Office Paper,High,No,High,Surat
Organic,Biodegradable,Medium,No,Medium,Vadodara
E-Waste,Wires,Medium,No,Low,Surat
E-Waste,Wires,Low,No,High,Jamnagar
Plastic,PVC,Medium,No,Medium,Vadodara
Metal,Iron,High,No,High,Rajkot
Metal,Iron,Medium,No,High,Surat
E-Waste,Circuit Board,Low,Yes,Medium,Jamnagar
Plastic,PET,Medium,No,High,Rajkot
Metal,Iron,Low,No,Medium,Jamnagar
Metal,Aluminium,Medium,Yes,Medium,Ahmedabad
E-Waste,Wires,Medium,Yes,High,Vadodara
Metal,Steel,Medium,No,High,Surat
Paper,Newspaper,High,No,Medium,Vadodara
Organic,Food Waste,High,No,Low,Ahmedabad
Plastic,HDPE,Low,No,Medium,Rajkot
Organic,Food Waste,Low,Yes,Medium,Rajkot
Paper,Cardboard,High,Yes,Low,Vadodara
Plastic,PVC,High,No,Low,Vadodara
E-Waste,Battery,Low,No,High,Surat
Plastic,PVC,High,Yes,Medium,Ahmedabad
Plastic,PVC,Low,Yes,Medium,Ahmedabad
Plastic,PVC,High,No,High,Bhavnagar
Organic,Biodegradable,High,No,High,Rajkot
Organic,Food Waste,Low,No,High,Rajkot
Paper,Office Paper,Low,Yes,High,Vadodara
Metal,Steel,Low,Yes,Low,Surat
Paper,Newspaper,Low,Yes,High,Ahmedabad
Plastic,PET,Low,Yes,Medium,Rajkot
Metal,Aluminium,Medium,No,High,Jamnagar
Paper,Newspaper,Medium,No,Low,Ahmedabad
Organic,Biodegradable,High,No,Low,Bhavnagar
Plastic,HDPE,Low,Yes,Medium,Bhavnagar
Plastic,PVC,High,No,Low,Surat
Paper,Cardboard,Medium,No,High,Bhavnagar
Metal,Iron,Medium,Yes,Medium,Gandhinagar
Paper,Office Paper,High,No,High,Ahmedabad
Paper,Newspaper,Low,No,Low,Rajkot
Organic,Biodegradable,Low,Yes,Low,Surat
Paper,Cardboard,Medium,No,High,Rajkot
Plastic,PET,Medium,Yes,High,Bhavnagar
Organic,Garden Waste,Medium,No,Low,Vadodara
Metal,Iron,Low,Yes,High,Bhavnagar
Plastic,HDPE,High,No,Low,Rajkot
Organic,Food Waste,Medium,No,Medium,Gandhinagar
Paper,Cardboard,Low,Yes,Low,Ahmedabad
E-Waste,Wires,Low,Yes,Low,Ahmedabad
Organic,Garden Waste,Medium,Yes,Low,Bhavnagar
Metal,Steel,Low,Yes,Low,Gandhinagar
Organic,Biodegradable,Medium,No,Low,Rajkot
Plastic,PVC,Medium,Yes,Medium,Bhavnagar
E-Waste,Circuit Board,High,No,Low,Vadodara
Plastic,HDPE,Low,No,Low,Bhavnagar
Paper,Office Paper,High,No,Low,Rajkot
E-Waste,Battery,Medium,No,High,Ahmedabad
Organic,Garden Waste,High,No,High,Bhavnagar
Paper,Office Paper,Low,No,High,Bhavnagar
E-Waste,Circuit Board,High,No,Low,Ahmedabad
Paper,Office Paper,High,No,Medium,Vadodara
Metal,Steel,Low,No,Medium,Gandhinagar
Organic,Food Waste,High,Yes,Medium,Ahmedabad
Plastic,HDPE,Low,Yes,Low,Rajkot
Metal,Iron,Medium,Yes,High,Bhavnagar
Plastic,HDPE,Medium,Yes,Low,Jamnagar
Plastic,HDPE,High,Yes,Low,Jamnagar
E-Waste,Wires,High,Yes,Medium,Rajkot
Paper,Cardboard,Medium,Yes,Medium,Rajkot
Metal,Aluminium,Medium,No,High,Jamnagar
Organic,Food Waste,Medium,No,High,Ahmedabad
Organic,Garden Waste,High,No,High,Bhavnagar
E-Waste,Wires,Medium,No,High,Bhavnagar
Paper,Office Paper,Low,No,Medium,Bhavnagar
Paper,Office Paper,Low,No,Low,Jamnagar
Plastic,PET,Medium,Yes,High,Rajkot
Paper,Office Paper,Medium,No,High,Jamnagar
Metal,Iron,High,No,Medium,Vadodara
Paper,Office Paper,High,Yes,Medium,Gandhinagar
Metal,Aluminium,Medium,Yes,Medium,Vadodara
Organic,Garden Waste,Medium,Yes,Medium,Ahmedabad
E-Waste,Battery,Medium,Yes,Low,Rajkot
Paper,Newspaper,Low,Yes,High,Bhavnagar
Plastic,PET,High,Yes,Medium,Bhavnagar
Metal,Iron,High,No,Medium,Vadodara
E-Waste,Battery,High,Yes,Medium,Ahmedabad
Organic,Biodegradable,Low,No,Low,Bhavnagar
Plastic,PVC,High,No,Medium,Surat
Organic,Food Waste,Low,Yes,Medium,Jamnagar
Plastic,PVC,High,Yes,Medium,Surat
Plastic,HDPE,High,Yes,Low,Vadodara
Paper,Newspaper,High,No,Medium,Ahmedabad
Paper,Newspaper,Low,No,High,Surat
E-Waste,Wires,Medium,Yes,Low,Vadodara
Paper,Cardboard,High,No,Medium,Bhavnagar
E-Waste,Circuit Board,Medium,Yes,Low,Jamnagar
Plastic,PVC,High,Yes,High,Bhavnagar
Plastic,HDPE,Low,Yes,Low,Ahmedabad
Organic,Food Waste,High,No,Medium,Rajkot
Plastic,HDPE,High,No,Medium,Vadodara
E-Waste,Battery,High,Yes,High,Gandhinagar
Organic,Biodegradable,Low,Yes,Low,Jamnagar
Metal,Aluminium,Medium,No,High,Surat
E-Waste,Wires,High,No,High,Bhavnagar
Organic,Food Waste,High,Yes,High,Gandhinagar
Paper,Office Paper,Medium,Yes,Medium,Surat
Metal,Iron,Medium,Yes,Low,Jamnagar
Plastic,HDPE,Medium,No,Medium,Bhavnagar
Plastic,HDPE,High,No,High,Jamnagar
Plastic,PVC,Medium,Yes,Medium,Vadodara
Metal,Aluminium,Low,Yes,Low,Ahmedabad
Metal,Aluminium,Low,Yes,Low,Vadodara
Metal,Iron,Low,No,High,Bhavnagar
Paper,Cardboard,Low,No,Low,Bhavnagar
Plastic,PET,High,Yes,High,Ahmedabad
Organic,Garden Waste,Medium,Yes,Low,Bhavnagar
Plastic,PET,Low,Yes,Low,Jamnagar
Paper,Office Paper,Low,No,High,Bhavnagar
Metal,Aluminium,Low,No,High,Surat
Metal,Steel,Low,No,Low,Gandhinagar
Paper,Cardboard,Low,Yes,Low,Surat
Plastic,PVC,Medium,Yes,High,Jamnagar
E-Waste,Battery,Medium,Yes,Low,Gandhinagar
E-Waste,Battery,Low,Yes,Medium,Rajkot
Plastic,PVC,Medium,No,Medium,Ahmedabad
Organic,Food Waste,Low,No,Low,Rajkot
Plastic,HDPE,Medium,Yes,High,Ahmedabad
Metal,Aluminium,Medium,No,Medium,Vadodara
Paper,Newspaper,High,No,High,Bhavnagar
Plastic,HDPE,Medium,No,Medium,Gandhinagar
Organic,Garden Waste,High,Yes,Medium,Ahmedabad
Paper,Office Paper,Medium,Yes,Low,Rajkot
E-Waste,Wires,High,Yes,Medium,Gandhinagar
Paper,Newspaper,Low,No,Medium,Rajkot
Metal,Aluminium,Medium,No,Medium,Jamnagar
Metal,Steel,High,No,Medium,Jamnagar
Metal,Steel,Medium,Yes,High,Surat
Paper,Newspaper,Medium,No,Low,Rajkot
E-Waste,Circuit Board,Medium,No,High,Vadodara
E-Waste,Wires,High,No,High,Ahmedabad
E-Waste,Battery,Medium,Yes,High,Surat
E-Waste,Circuit Board,High,Yes,Low,Bhavnagar
E-Waste,Battery,High,Yes,Medium,Surat
Metal,Aluminium,High,Yes,Medium,Vadodara
Metal,Iron,High,No,High,Gandhinagar
Plastic,HDPE,Medium,Yes,Medium,Rajkot
Metal,Aluminium,High,No,High,Jamnagar
E-Waste,Circuit Board,Medium,No,High,Surat
E-Waste,Circuit Board,Medium,Yes,Low,Rajkot
E-Waste,Battery,High,Yes,High,Ahmedabad
E-Waste,Wires,Low,Yes,Medium,Gandhinagar
E-Waste,Wires,Low,Yes,High,Vadodara
Organic,Biodegradable,Medium,Yes,Low,Jamnagar
Organic,Food Waste,Medium,Yes,Low,Vadodara
Plastic,PET,Low,No,High,Jamnagar
E-Waste,Circuit Board,Low,No,Medium,Bhavnagar
E-Waste,Circuit Board,Medium,No,High,Vadodara
Paper,Newspaper,Medium,No,Medium,Bhavnagar
Paper,Office Paper,Low,No,High,Rajkot
Metal,Iron,High,Yes,High,Ahmedabad
E-Waste,Battery,Medium,Yes,Medium,Gandhinagar
Metal,Steel,Medium,No,High,Ahmedabad
Metal,Steel,High,No,Low,Bhavnagar
Metal,Iron,Low,No,Medium,Bhavnagar
E-Waste,Wires,Low,No,High,Jamnagar
Plastic,HDPE,Medium,No,Low,Ahmedabad
Organic,Biodegradable,High,Yes,High,Jamnagar
Paper,Cardboard,Low,No,Medium,Bhavnagar
Plastic,PET,High,Yes,High,Bhavnagar
Metal,Steel,High,No,Low,Bhavnagar
Organic,Food Waste,High,Yes,High,Bhavnagar
